Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Projects Count
"Pytorch, Python, TensorFlow, NLP",9,M.Tech,Google ML,AI Researcher,Hire,4
"Linux, Networking, Ethical Hacking, Cybersecurity",9,M.Tech,Google ML,Cybersecurity Analyst,Hire,3
"SQL, Python, Machine Learning, Deep Learning",1,B.Tech,AWS Certified,Data Scientist,Reject,1
"Pytorch, TensorFlow, NLP",8,PhD,Deep Learning Specialization,AI Researcher,Hire,0
"Ethical Hacking, Networking, Linux",0,MBA,Google ML,Cybersecurity Analyst,Reject,7
"Python, SQL, Machine Learning, Deep Learning",0,M.Tech,Deep Learning Specialization,Data Scientist,Reject,6
"Java, SQL",5,MBA,AWS Certified,Software Engineer,Hire,6
"TensorFlow, NLP",9,B.Sc,Deep Learning Specialization,AI Researcher,Hire,4
"Java, React, SQL, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,Hire,8
"Python, Machine Learning",0,M.Tech,Deep Learning Specialization,Data Scientist,Reject,0
"Cybersecurity, Ethical Hacking, Linux, Networking",7,PhD,None,Cybersecurity Analyst,Hire,1
"TensorFlow, Python",1,MBA,None,AI Researcher,Reject,6
"Deep Learning, Python, Machine Learning, SQL",6,B.Sc,Deep Learning Specialization,Data Scientist,Hire,4
"NLP, TensorFlow, Pytorch",7,MBA,None,AI Researcher,Hire,4
"React, C++",1,PhD,Deep Learning Specialization,Software Engineer,Hire,10
"C++, Java",9,M.Tech,Deep Learning Specialization,Software Engineer,Hire,4
"Python, NLP, TensorFlow",10,B.Tech,None,AI Researcher,Hire,2
"Java, SQL, C++",0,B.Sc,AWS Certified,Software Engineer,Reject,2
"Java, React, C++",8,M.Tech,None,Software Engineer,Hire,2
"SQL, Deep Learning, Python, Machine Learning",6,M.Tech,Deep Learning Specialization,Data Scientist,Hire,10
"Python, Pytorch",7,B.Sc,None,AI Researcher,Hire,7
"React, SQL, Java",5,PhD,Google ML,Software Engineer,Hire,10
"Linux, Ethical Hacking, Cybersecurity, Networking",10,M.Tech,None,Cybersecurity Analyst,Hire,8
"NLP, TensorFlow",4,MBA,Google ML,AI Researcher,Hire,7
"Pytorch, TensorFlow, Python",4,MBA,Google ML,AI Researcher,Hire,6
"TensorFlow, NLP, Pytorch",5,B.Sc,AWS Certified,AI Researcher,Hire,0
"NLP, Pytorch",0,B.Sc,Deep Learning Specialization,AI Researcher,Hire,10
"Java, SQL, C++",9,B.Tech,Google ML,Software Engineer,Hire,8
"TensorFlow, Pytorch, Python, NLP",1,B.Sc,AWS Certified,AI Researcher,Reject,4
"TensorFlow, NLP, Pytorch, Python",4,PhD,Deep Learning Specialization,AI Researcher,Hire,2
"TensorFlow, Pytorch, NLP, Python",6,B.Tech,AWS Certified,AI Researcher,Hire,9
"Python, Deep Learning",6,PhD,Google ML,Data Scientist,Hire,8
"SQL, Java, React",6,B.Sc,Google ML,Software Engineer,Hire,3
"Linux, Cybersecurity",1,M.Tech,Google ML,Cybersecurity Analyst,Reject,3
"Ethical Hacking, Cybersecurity",8,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,3
"Ethical Hacking, Networking",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,Reject,3
"Ethical Hacking, Networking, Linux",8,PhD,None,Cybersecurity Analyst,Hire,7
"Java, SQL",5,B.Tech,Google ML,Software Engineer,Hire,1
"Deep Learning, Machine Learning, SQL",7,B.Tech,AWS Certified,Data Scientist,Hire,6
"NLP, Python, TensorFlow",9,B.Tech,AWS Certified,AI Researcher,Hire,0
"Python, Deep Learning, Machine Learning",2,B.Tech,Deep Learning Specialization,Data Scientist,Reject,2
"Python, Machine Learning, SQL",4,B.Tech,None,Data Scientist,Hire,6
"Ethical Hacking, Linux, Networking, Cybersecurity",7,MBA,None,Cybersecurity Analyst,Hire,3
"Java, React",9,B.Tech,Google ML,Software Engineer,Hire,0
"Machine Learning, SQL, Deep Learning",5,B.Tech,Deep Learning Specialization,Data Scientist,Hire,4
"SQL, Python, Machine Learning, Deep Learning",3,MBA,Deep Learning Specialization,Data Scientist,Hire,1
"Pytorch, TensorFlow",0,B.Sc,Deep Learning Specialization,AI Researcher,Reject,3
"C++, Java",2,MBA,Deep Learning Specialization,Software Engineer,Reject,2
"NLP, TensorFlow, Pytorch",9,PhD,None,AI Researcher,Hire,9
"Networking, Cybersecurity, Linux, Ethical Hacking",10,B.Tech,None,Cybersecurity Analyst,Hire,10
"React, C++, Java",5,PhD,AWS Certified,Software Engineer,Hire,10
"React, Java, SQL",4,MBA,Google ML,Software Engineer,Hire,9
"React, C++, Java, SQL",5,MBA,Deep Learning Specialization,Software Engineer,Hire,8
"Java, React",6,B.Sc,Google ML,Software Engineer,Hire,0
"Python, TensorFlow, Pytorch, NLP",4,B.Sc,AWS Certified,AI Researcher,Hire,2
"Linux, Networking, Cybersecurity, Ethical Hacking",7,PhD,None,Cybersecurity Analyst,Hire,3
"SQL, Java",1,PhD,AWS Certified,Software Engineer,Hire,9
"Java, C++, React",6,MBA,AWS Certified,Software Engineer,Hire,10
"SQL, Python",9,B.Sc,Deep Learning Specialization,Data Scientist,Hire,2
"Machine Learning, Python, Deep Learning, SQL",5,M.Tech,Deep Learning Specialization,Data Scientist,Hire,5
"Pytorch, Python",3,MBA,Deep Learning Specialization,AI Researcher,Reject,0
"Linux, Networking, Ethical Hacking, Cybersecurity",8,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,5
"Python, NLP, Pytorch",3,B.Sc,Deep Learning Specialization,AI Researcher,Reject,0
"NLP, Python, Pytorch, TensorFlow",1,B.Sc,AWS Certified,AI Researcher,Reject,4
"Java, C++, SQL",0,B.Sc,None,Software Engineer,Reject,3
"Ethical Hacking, Networking, Linux, Cybersecurity",8,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Hire,4
"C++, Java, React, SQL",1,PhD,None,Software Engineer,Reject,0
"TensorFlow, NLP, Python, Pytorch",6,B.Sc,Deep Learning Specialization,AI Researcher,Hire,3
"Networking, Cybersecurity",7,B.Sc,None,Cybersecurity Analyst,Hire,0
"Linux, Cybersecurity, Ethical Hacking",4,M.Tech,None,Cybersecurity Analyst,Hire,5
"Machine Learning, Python, SQL",10,M.Tech,Google ML,Data Scientist,Hire,3
"Deep Learning, SQL, Python, Machine Learning",4,M.Tech,None,Data Scientist,Hire,7
"Ethical Hacking, Cybersecurity, Networking, Linux",3,MBA,Google ML,Cybersecurity Analyst,Hire,1
"Deep Learning, Python, SQL",3,B.Sc,Google ML,Data Scientist,Hire,2
"Cybersecurity, Ethical Hacking, Linux",9,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,2
"SQL, Machine Learning, Deep Learning, Python",5,B.Tech,None,Data Scientist,Hire,3
"Networking, Linux, Cybersecurity, Ethical Hacking",10,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,0
"TensorFlow, Pytorch, Python",5,B.Tech,Google ML,AI Researcher,Hire,5
"TensorFlow, Pytorch, NLP",10,M.Tech,AWS Certified,AI Researcher,Hire,8
"SQL, Python, Deep Learning, Machine Learning",10,PhD,None,Data Scientist,Hire,1
"Python, Machine Learning",8,PhD,AWS Certified,Data Scientist,Hire,4
"TensorFlow, NLP, Pytorch",6,B.Tech,Deep Learning Specialization,AI Researcher,Hire,0
"Python, Machine Learning",9,B.Sc,Google ML,Data Scientist,Hire,2
"Ethical Hacking, Networking, Linux",3,B.Tech,Google ML,Cybersecurity Analyst,Hire,7
"SQL, React, Java",6,PhD,AWS Certified,Software Engineer,Hire,10
"Python, Machine Learning, SQL, Deep Learning",7,PhD,AWS Certified,Data Scientist,Hire,2
"Python, Deep Learning, SQL, Machine Learning",7,B.Tech,Google ML,Data Scientist,Hire,0
"Ethical Hacking, Linux, Cybersecurity",5,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,8
"Cybersecurity, Ethical Hacking, Networking, Linux",6,M.Tech,None,Cybersecurity Analyst,Hire,2
"Linux, Ethical Hacking, Networking, Cybersecurity",6,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,5
"Pytorch, TensorFlow, Python",2,PhD,None,AI Researcher,Reject,1
"Ethical Hacking, Linux",6,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,9
"Cybersecurity, Linux",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,Reject,1
"SQL, Machine Learning",3,PhD,Deep Learning Specialization,Data Scientist,Hire,9
"SQL, Machine Learning",5,M.Tech,AWS Certified,Data Scientist,Hire,8
"Linux, Cybersecurity",5,M.Tech,None,Cybersecurity Analyst,Hire,10
"TensorFlow, NLP, Python",1,M.Tech,None,AI Researcher,Reject,2
"Networking, Cybersecurity, Linux, Ethical Hacking",7,M.Tech,Google ML,Cybersecurity Analyst,Hire,10
"Deep Learning, SQL",2,PhD,None,Data Scientist,Reject,3
"Pytorch, NLP, Python",3,M.Tech,AWS Certified,AI Researcher,Hire,6
"Networking, Cybersecurity, Ethical Hacking",2,B.Sc,Google ML,Cybersecurity Analyst,Hire,7
"Java, C++, React, SQL",9,B.Sc,Deep Learning Specialization,Software Engineer,Hire,2
"Python, Machine Learning",7,M.Tech,None,Data Scientist,Hire,0
"Networking, Ethical Hacking, Cybersecurity",8,MBA,None,Cybersecurity Analyst,Hire,1
"Deep Learning, SQL, Python",3,B.Sc,AWS Certified,Data Scientist,Hire,6
"React, SQL, C++",3,B.Tech,Google ML,Software Engineer,Hire,5
"SQL, Python",9,PhD,Deep Learning Specialization,Data Scientist,Hire,8
"Machine Learning, Deep Learning, Python, SQL",6,MBA,None,Data Scientist,Hire,4
"SQL, Machine Learning, Python, Deep Learning",9,B.Sc,Google ML,Data Scientist,Hire,2
"C++, React",1,MBA,None,Software Engineer,Reject,3
"SQL, Deep Learning, Python, Machine Learning",8,B.Sc,Google ML,Data Scientist,Hire,5
"Pytorch, TensorFlow",3,MBA,None,AI Researcher,Hire,7
"Networking, Cybersecurity, Ethical Hacking",8,MBA,None,Cybersecurity Analyst,Hire,4
"Java, React",6,PhD,Deep Learning Specialization,Software Engineer,Hire,7
"Machine Learning, Deep Learning, SQL, Python",1,PhD,None,Data Scientist,Hire,7
"Pytorch, NLP",0,B.Sc,None,AI Researcher,Reject,7
"SQL, Deep Learning, Python",5,PhD,None,Data Scientist,Hire,3
"React, Java, C++, SQL",7,M.Tech,Deep Learning Specialization,Software Engineer,Hire,3
"Java, C++, React, SQL",5,MBA,Deep Learning Specialization,Software Engineer,Hire,7
"Pytorch, Python",0,B.Sc,Deep Learning Specialization,AI Researcher,Reject,7
"NLP, TensorFlow, Python",0,MBA,Deep Learning Specialization,AI Researcher,Reject,3
"SQL, Python, Machine Learning, Deep Learning",3,M.Tech,Google ML,Data Scientist,Hire,5
"React, SQL, Java, C++",1,PhD,AWS Certified,Software Engineer,Hire,5
"Linux, Cybersecurity, Ethical Hacking",8,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Hire,8
"Linux, Ethical Hacking",1,PhD,AWS Certified,Cybersecurity Analyst,Reject,3
"TensorFlow, NLP, Python",3,MBA,Deep Learning Specialization,AI Researcher,Hire,10
"Machine Learning, SQL, Python",10,PhD,None,Data Scientist,Hire,6
"Pytorch, Python, TensorFlow, NLP",9,B.Sc,AWS Certified,AI Researcher,Hire,5
"Pytorch, Python",7,B.Tech,None,AI Researcher,Hire,6
"Python, Deep Learning",8,PhD,None,Data Scientist,Hire,10
"C++, SQL, Java",1,PhD,Deep Learning Specialization,Software Engineer,Hire,7
"Ethical Hacking, Cybersecurity, Linux",3,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Reject,0
"Python, TensorFlow",1,B.Sc,Deep Learning Specialization,AI Researcher,Reject,4
"Cybersecurity, Ethical Hacking, Linux, Networking",8,MBA,Google ML,Cybersecurity Analyst,Hire,8
"TensorFlow, NLP",6,PhD,Google ML,AI Researcher,Hire,1
"Ethical Hacking, Cybersecurity, Networking",8,B.Tech,None,Cybersecurity Analyst,Hire,0
"NLP, Python, TensorFlow",1,PhD,Deep Learning Specialization,AI Researcher,Hire,7
"Java, C++",9,MBA,Google ML,Software Engineer,Hire,3
"NLP, Pytorch, Python, TensorFlow",10,B.Sc,None,AI Researcher,Hire,4
"Ethical Hacking, Linux, Cybersecurity, Networking",7,MBA,None,Cybersecurity Analyst,Hire,10
"C++, React",2,B.Sc,AWS Certified,Software Engineer,Hire,5
"Cybersecurity, Ethical Hacking, Networking, Linux",1,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,6
"Python, NLP, TensorFlow",2,M.Tech,Google ML,AI Researcher,Hire,4
"Machine Learning, Python, Deep Learning",3,B.Tech,AWS Certified,Data Scientist,Hire,4
"Networking, Linux, Ethical Hacking",7,B.Tech,Google ML,Cybersecurity Analyst,Hire,3
"C++, SQL",2,MBA,Google ML,Software Engineer,Reject,1
"SQL, Java",1,B.Tech,Google ML,Software Engineer,Hire,7
"TensorFlow, Python, NLP",3,B.Tech,None,AI Researcher,Reject,3
"Linux, Ethical Hacking, Cybersecurity, Networking",8,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,3
"SQL, Deep Learning, Python, Machine Learning",7,B.Sc,None,Data Scientist,Hire,10
"TensorFlow, Python, NLP, Pytorch",8,MBA,AWS Certified,AI Researcher,Hire,8
"Linux, Networking, Cybersecurity, Ethical Hacking",1,B.Sc,None,Cybersecurity Analyst,Hire,10
"Pytorch, TensorFlow, Python, NLP",10,PhD,Google ML,AI Researcher,Hire,2
"Cybersecurity, Linux",9,PhD,None,Cybersecurity Analyst,Hire,0
"Python, NLP",1,M.Tech,Google ML,AI Researcher,Reject,1
"Python, TensorFlow, Pytorch, NLP",6,B.Sc,None,AI Researcher,Hire,4
"Java, SQL",8,M.Tech,Deep Learning Specialization,Software Engineer,Hire,4
"Linux, Ethical Hacking, Cybersecurity",4,PhD,AWS Certified,Cybersecurity Analyst,Hire,1
"Cybersecurity, Networking",1,B.Tech,Google ML,Cybersecurity Analyst,Reject,6
"Python, Deep Learning, Machine Learning",2,B.Tech,Deep Learning Specialization,Data Scientist,Hire,4
"Linux, Networking, Ethical Hacking",7,B.Sc,None,Cybersecurity Analyst,Hire,6
"Python, Pytorch",3,PhD,Deep Learning Specialization,AI Researcher,Hire,8
"Cybersecurity, Networking, Ethical Hacking",2,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,10
"Python, NLP, Pytorch",1,MBA,Google ML,AI Researcher,Reject,1
"React, C++, Java, SQL",0,M.Tech,AWS Certified,Software Engineer,Hire,8
"Deep Learning, Python",3,MBA,AWS Certified,Data Scientist,Hire,4
"SQL, Java, C++, React",9,M.Tech,None,Software Engineer,Hire,5
"Cybersecurity, Linux, Networking",0,MBA,Deep Learning Specialization,Cybersecurity Analyst,Reject,7
"React, SQL",7,B.Tech,AWS Certified,Software Engineer,Hire,0
"Ethical Hacking, Linux, Cybersecurity, Networking",1,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,8
"Python, Deep Learning",5,B.Tech,None,Data Scientist,Hire,3
"Python, TensorFlow, NLP, Pytorch",8,PhD,AWS Certified,AI Researcher,Hire,5
"Deep Learning, SQL",1,M.Tech,Google ML,Data Scientist,Reject,4
"Linux, Ethical Hacking",10,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,0
"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,AWS Certified,Data Scientist,Hire,7
"C++, SQL, React",8,B.Tech,Google ML,Software Engineer,Hire,4
"Linux, Networking",0,B.Tech,AWS Certified,Cybersecurity Analyst,Reject,6
"NLP, Pytorch",2,B.Sc,Deep Learning Specialization,AI Researcher,Hire,8
"Deep Learning, Python, SQL",2,B.Sc,Deep Learning Specialization,Data Scientist,Hire,8
"Cybersecurity, Ethical Hacking, Linux",7,MBA,AWS Certified,Cybersecurity Analyst,Hire,4
"Deep Learning, Machine Learning, SQL",5,B.Sc,Google ML,Data Scientist,Hire,4
"SQL, Java, React, C++",4,MBA,Deep Learning Specialization,Software Engineer,Hire,5
"React, Java",2,MBA,AWS Certified,Software Engineer,Hire,8
"Python, NLP, TensorFlow, Pytorch",9,B.Tech,AWS Certified,AI Researcher,Hire,10
"Pytorch, NLP, TensorFlow, Python",7,M.Tech,AWS Certified,AI Researcher,Hire,9
"TensorFlow, Python, Pytorch",8,PhD,None,AI Researcher,Hire,1
"SQL, Machine Learning",2,B.Tech,None,Data Scientist,Reject,2
"React, C++, SQL, Java",7,MBA,Deep Learning Specialization,Software Engineer,Hire,5
"NLP, Pytorch, TensorFlow",6,B.Tech,Deep Learning Specialization,AI Researcher,Hire,4
"Java, C++, React",9,M.Tech,None,Software Engineer,Hire,1
"Cybersecurity, Linux",8,B.Sc,Google ML,Cybersecurity Analyst,Hire,10
"SQL, Machine Learning, Deep Learning",0,B.Tech,Deep Learning Specialization,Data Scientist,Reject,2
"TensorFlow, Pytorch, Python",8,B.Tech,AWS Certified,AI Researcher,Hire,6
"Python, Pytorch",7,B.Sc,Google ML,AI Researcher,Hire,2
"Ethical Hacking, Linux, Networking",1,PhD,AWS Certified,Cybersecurity Analyst,Hire,10
"TensorFlow, NLP",10,B.Sc,AWS Certified,AI Researcher,Hire,2
"Python, TensorFlow",0,M.Tech,AWS Certified,AI Researcher,Reject,1
"NLP, Python, Pytorch",1,MBA,AWS Certified,AI Researcher,Reject,0
"NLP, TensorFlow",7,MBA,Google ML,AI Researcher,Hire,1
"Networking, Ethical Hacking",0,M.Tech,AWS Certified,Cybersecurity Analyst,Reject,5
"SQL, React",10,B.Tech,Deep Learning Specialization,Software Engineer,Hire,5
"SQL, Machine Learning, Deep Learning, Python",8,M.Tech,Google ML,Data Scientist,Hire,8
"Cybersecurity, Linux, Networking, Ethical Hacking",9,PhD,Deep Learning Specialization,Cybersecurity Analyst,Hire,4
"Machine Learning, SQL, Python",0,PhD,Google ML,Data Scientist,Reject,7
"Ethical Hacking, Cybersecurity",0,B.Sc,None,Cybersecurity Analyst,Reject,8
"Linux, Cybersecurity",2,PhD,AWS Certified,Cybersecurity Analyst,Reject,1
"NLP, Pytorch, Python",8,MBA,None,AI Researcher,Hire,3
"Networking, Linux",3,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,7
"NLP, TensorFlow",7,PhD,Deep Learning Specialization,AI Researcher,Hire,0
"Deep Learning, Machine Learning, Python",3,MBA,AWS Certified,Data Scientist,Reject,1
"React, C++, SQL, Java",4,B.Tech,Deep Learning Specialization,Software Engineer,Hire,7
"Cybersecurity, Networking, Ethical Hacking",6,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,8
"Deep Learning, Machine Learning",0,PhD,Google ML,Data Scientist,Reject,1
"C++, SQL, React",10,M.Tech,Deep Learning Specialization,Software Engineer,Hire,5
"Python, TensorFlow, Pytorch, NLP",9,MBA,Google ML,AI Researcher,Hire,1
"Pytorch, Python, NLP, TensorFlow",0,M.Tech,Deep Learning Specialization,AI Researcher,Hire,9
"Python, TensorFlow",3,B.Sc,None,AI Researcher,Reject,3
"Python, Deep Learning",7,B.Tech,None,Data Scientist,Hire,2
"Ethical Hacking, Cybersecurity, Networking",2,PhD,Deep Learning Specialization,Cybersecurity Analyst,Hire,5
"C++, React, SQL, Java",2,MBA,None,Software Engineer,Reject,1
"Python, SQL, Deep Learning",10,B.Tech,None,Data Scientist,Hire,8
"Python, Deep Learning, SQL, Machine Learning",2,M.Tech,None,Data Scientist,Hire,7
"Ethical Hacking, Networking",6,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,4
"TensorFlow, Python",2,PhD,Deep Learning Specialization,AI Researcher,Hire,9
"Cybersecurity, Networking, Linux",2,B.Sc,AWS Certified,Cybersecurity Analyst,Reject,3
"Machine Learning, Python, SQL",6,B.Tech,None,Data Scientist,Hire,5
"Java, C++, React, SQL",4,B.Sc,None,Software Engineer,Hire,8
"Pytorch, Python, NLP, TensorFlow",9,MBA,Deep Learning Specialization,AI Researcher,Hire,3
"Deep Learning, Python, Machine Learning, SQL",2,B.Sc,None,Data Scientist,Hire,6
"Networking, Linux, Ethical Hacking, Cybersecurity",2,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Reject,2
"Networking, Cybersecurity, Linux, Ethical Hacking",8,MBA,Google ML,Cybersecurity Analyst,Hire,4
"SQL, Deep Learning",6,B.Tech,Google ML,Data Scientist,Hire,6
"Python, Pytorch, TensorFlow",1,M.Tech,None,AI Researcher,Hire,10
"Linux, Ethical Hacking",10,M.Tech,Google ML,Cybersecurity Analyst,Hire,9
"React, Java, SQL, C++",5,PhD,Deep Learning Specialization,Software Engineer,Hire,10
"NLP, Python, TensorFlow, Pytorch",2,PhD,Deep Learning Specialization,AI Researcher,Hire,10
"Python, NLP",8,B.Sc,Google ML,AI Researcher,Hire,10
"SQL, Python, Machine Learning",6,B.Sc,AWS Certified,Data Scientist,Hire,9
"React, SQL, C++",1,MBA,None,Software Engineer,Hire,10
"Machine Learning, SQL, Python",4,B.Sc,Google ML,Data Scientist,Hire,8
"Python, SQL",1,MBA,Deep Learning Specialization,Data Scientist,Hire,7
"Deep Learning, SQL",6,B.Tech,AWS Certified,Data Scientist,Hire,0
"SQL, Java",3,B.Tech,None,Software Engineer,Hire,8
"Cybersecurity, Ethical Hacking, Networking",0,B.Tech,None,Cybersecurity Analyst,Reject,7
"SQL, Machine Learning, Python, Deep Learning",6,B.Sc,Google ML,Data Scientist,Hire,8
"Deep Learning, SQL, Python, Machine Learning",1,PhD,Deep Learning Specialization,Data Scientist,Reject,1
"C++, SQL",5,M.Tech,Google ML,Software Engineer,Hire,5
"Networking, Ethical Hacking, Linux, Cybersecurity",10,M.Tech,Google ML,Cybersecurity Analyst,Hire,5
"Cybersecurity, Ethical Hacking, Linux",1,MBA,AWS Certified,Cybersecurity Analyst,Hire,10
"Cybersecurity, Networking, Ethical Hacking, Linux",2,B.Sc,None,Cybersecurity Analyst,Reject,4
"Machine Learning, Python, Deep Learning",2,B.Tech,Deep Learning Specialization,Data Scientist,Hire,7
